link_key,speed_ref_sd,tt_cv,tt_avg,road_closures,tt_sd,median_age,speed_avg,speed_hist_sd,median_inc,bus_stops,inrix_id,intersections,speed_cv,speed_hist_avg,speed_max,speed_ref_avg,tt_var,speed_sd,incidents,date,hour
"(27, 447, '0')",0.000,0.064,0.020,0.000,0.000,29.900,20.505,1.190,39.750,0,400073693.000,5,0.064,17.709,21.748,21.748,0.000,1.134,0,2020-10-06,16
"(27, 670, '0')",0.000,0.058,0.550,0.000,0.029,39.300,17.554,0.782,24.432,0,1626738113.000,0,0.058,16.000,18.641,24.233,0.001,0.932,0,2020-10-06,16
"(29, 670, '0')",0.000,0.064,0.457,0.000,0.022,39.300,20.505,1.190,24.432,0,1626645082.000,1,0.064,17.709,21.748,21.748,0.000,1.134,0,2020-10-06,16
"(27, 452, '0')",0.000,0.061,0.515,0.000,0.024,24.500,32.933,2.092,17.434,0,1626707326.000,1,0.061,28.583,35.418,39.768,0.001,1.758,0,2020-10-06,16
"(534, 537, '0')",0.000,0.000,0.000,0.000,0.000,33.100,0.000,0.000,45.536,0,,1,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(513, 510, '0')",0.000,0.000,0.000,0.000,0.000,33.100,0.000,0.000,45.536,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(11, 1048, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(451, 1048, '0')",0.000,0.057,0.988,0.000,0.046,21.300,29.981,0.000,23.867,0,449891975.000,0,0.057,24.233,31.690,32.311,0.002,1.378,0,2020-10-06,16
"(29, 1041, '0')",0.000,0.000,0.000,0.000,0.000,45.200,0.000,0.000,16.994,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(29, 1045, '0')",0.000,0.176,1.230,0.000,0.191,21.300,24.855,0.717,23.867,0,1626659782.000,0,0.176,22.369,29.826,27.340,0.037,3.930,0,2020-10-06,16
"(29, 451, '0')",0.000,0.057,0.988,0.000,0.046,21.300,29.981,0.000,23.867,0,449891975.000,1,0.057,24.233,31.690,32.311,0.002,1.378,0,2020-10-06,16
"(1048, 451, '0')",0.000,0.086,1.015,0.000,0.075,21.300,29.204,0.359,23.867,0,449891993.000,0,0.086,26.408,31.690,30.447,0.006,2.269,0,2020-10-06,16
"(529, 532, '0')",0.000,0.000,0.000,0.000,0.000,26.700,0.000,0.000,30.907,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(519, 522, '0')",0.000,0.000,0.000,0.000,0.000,33.100,0.000,0.000,45.536,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(498, 501, '0')",0.000,0.049,0.542,0.000,0.022,33.600,17.243,1.076,41.694,0,1626664336.000,1,0.049,15.845,18.020,18.020,0.000,0.782,0,2020-10-06,16
"(348, 350, '0')",0.000,0.074,0.303,0.000,0.024,29.300,48.778,2.796,20.750,0,1626717233.000,1,0.074,42.409,53.438,54.059,0.001,3.148,0,2020-10-06,16
"(110, 131, '0')",0.000,0.059,0.268,0.000,0.013,46.000,23.301,0.000,24.821,0,429471501.000,1,0.059,26.719,25.476,32.933,0.000,1.564,0,2020-10-06,16
"(287, 131, '0')",0.000,0.026,0.200,0.000,0.000,46.000,65.555,0.311,24.821,0,1626686788.000,0,0.026,62.603,67.108,65.244,0.000,1.644,3,2020-10-06,16
"(110, 106, '0')",0.000,0.076,0.070,0.000,0.000,46.000,32.467,0.621,24.821,0,429471499.000,3,0.076,27.030,34.797,32.933,0.000,2.053,0,2020-10-06,16
"(32, 106, '0')",0.000,0.049,0.245,0.000,0.010,46.000,36.816,0.717,24.821,0,1626650773.000,1,0.049,36.661,39.146,34.797,0.000,1.785,1,2020-10-06,16
"(107, 106, '0')",0.000,,0.570,0.000,0.000,46.000,18.020,,24.821,0,171130911.000,1,,,18.020,18.020,0.000,0.000,0,2020-10-06,16
"(471, 473, '0')",0.000,0.000,0.000,0.000,0.000,25.600,0.000,0.000,42.628,0,,2,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(33, 840, '0')",0.000,0.139,0.345,0.000,0.045,26.700,22.369,0.879,30.907,0,449892031.000,0,0.139,19.263,26.098,24.855,0.002,2.685,1,2020-10-06,16
"(839, 840, '0')",0.000,0.078,0.412,0.000,0.030,26.700,15.534,1.293,30.907,0,449891941.000,1,0.078,14.602,16.777,19.884,0.001,1.134,1,2020-10-06,16
"(853, 840, '0')",0.000,0.139,0.283,0.000,0.039,29.000,22.369,0.879,36.974,0,449892032.000,0,0.139,19.263,26.098,24.855,0.001,2.685,1,2020-10-06,16
"(854, 840, '0')",0.000,0.078,0.412,0.000,0.030,26.700,15.534,1.293,30.907,0,449891941.000,0,0.078,14.602,16.777,19.884,0.001,1.134,1,2020-10-06,16
"(33, 209, '0')",0.000,0.078,0.500,0.000,0.029,26.700,15.534,1.293,30.907,0,449891942.000,1,0.078,14.602,16.777,19.884,0.001,1.134,1,2020-10-06,16
"(222, 209, '0')",0.000,0.139,0.260,0.000,0.027,29.000,22.369,0.879,36.974,0,1626617701.000,2,0.139,19.263,26.098,24.855,0.001,2.685,3,2020-10-06,16
